Year,Year Code,Country Name,Country Code,"Age at first marriage, male [SP.DYN.SMAM.MA]","Age at first marriage, female [SP.DYN.SMAM.FE]","Cause of death, by injury (% of total) [SH.DTH.INJR.ZS]","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) [SH.DTH.COMM.ZS]","Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]",Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS],Exclusive breastfeeding (% of children under 6 months) [SH.STA.BFED.ZS],"Immunization, BCG (% of one-year-old children) [SH.IMM.IBCG]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]","Immunization, DPT (% of children ages 12-23 months) [SH.IMM.IDPT]","Labor force, total [SL.TLF.TOTL.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]",Net migration [SM.POP.NETM],"Number of surgical procedures (per 100,000 population) [SH.SGR.PROC.P5]",Number of people who are undernourished [SN.ITK.DEFC],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Population, total [SP.POP.TOTL]","Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]",Rural population (% of total population) [SP.RUR.TOTL.ZS],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]",Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding) [SH.STA.ORCF.ZS],Domestic general government health expenditure (% of general government expenditure) [SH.XPD.GHED.GE.ZS],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Immunization, HepB3 (% of one-year-old children) [SH.IMM.HEPB]","Immunization, Hib3 (% of children ages 12-23 months) [SH.IMM.HIB3]","Immunization, Pol3 (% of one-year-old children) [SH.IMM.POL3]",Low-birthweight babies (% of births) [SH.STA.BRTW.ZS],"Malnutrition prevalence, weight for age (% of children under 5) [SH.STA.MALN.ZS]",Maternal leave benefits (% of wages paid in covered period) [SH.MMR.WAGE.ZS],"Mortality caused by road traffic injury (per 100,000 people) [SH.STA.TRAF.P5]","Maternal mortality ratio (national estimate, per 100,000 live births) [SH.STA.MMRT.NE]","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%) [SH.DYN.NCOM.ZS]","Mortality rate attributed to household and ambient air pollution (per 100,000 population) [SH.STA.AIRP.P5]","Mortality rate attributed to unintentional poisoning (per 100,000 population) [SH.STA.POIS.P5]","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) [SH.STA.WASH.P5]","Mortality rate, adult, male (per 1,000 male adults) [SP.DYN.AMRT.MA]","Mortality rate, adult, female (per 1,000 female adults) [SP.DYN.AMRT.FE]","Mortality rate, infant, female (per 1,000 live births) [SP.DYN.IMRT.FE.IN]","Mortality rate, infant, male (per 1,000 live births) [SP.DYN.IMRT.MA.IN]",Number of infant deaths [SH.DTH.IMRT],Number of maternal deaths [SH.MMR.DTHS],Number of neonatal deaths [SH.DTH.NMRT],Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure [SH.UHC.NOP1.TO],Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure [SH.UHC.NOP2.TO],Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure [SH.UHC.OOPC.25.TO],Number of under-five deaths [SH.DTH.MORT],"Nurses and midwives (per 1,000 people) [SH.MED.NUMW.P3]",Out-of-pocket expenditure per capita (current US$) [SH.XPD.OOPC.PC.CD],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],People using safely managed drinking water services (% of population) [SH.H2O.SMDW.ZS],People with basic handwashing facilities including soap and water (% of population) [SH.STA.HYGN.ZS],Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS],Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS],Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS],"Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]",Prevalence of overweight (% of adults) [SH.STA.OWAD.ZS],Prevalence of overweight (% of children under 5) [SH.STA.OWGH.ZS],Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],"Probability of dying at age 5-14 years (per 1,000 children age 5) [SH.DYN.0514]","Public spending on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Ratio of young literate females to males (% ages 15-24) [SE.ADT.1524.LT.FM.ZS],"School enrollment, primary (% net) [SE.PRM.NENR]","School enrollment, secondary (% net) [SE.SEC.NENR]","School enrollment, tertiary (% gross) [SE.TER.ENRR]",Sex ratio at birth (male births per female births) [SP.POP.BRTH.MF],"Smoking prevalence, males (% of adults) [SH.PRV.SMOK.MA]","Smoking prevalence, females (% of adults) [SH.PRV.SMOK.FE]","Specialist surgical workforce (per 100,000 population) [SH.MED.SAOP.P5]",Tuberculosis treatment success rate (% of new cases) [SH.TBS.CURE.ZS],"Tuberculosis death rate (per 100,000 people) [SH.TBS.MORT]",Unmet need for contraception (% of married women ages 15-49) [SP.UWT.TFRT],Urban population growth (annual %) [SP.URB.GROW],Rural population growth (annual %) [SP.RUR.TOTL.ZG],Vitamin A supplementation coverage rate (% of children ages 6-59 months) [SN.ITK.VITA.ZS],Wanted fertility rate (births per woman) [SP.DYN.WFRT]
2010,YR2010,Afghanistan,AFG,..,21.5,10.7,50.2,8.25,8.6,..,68,62,66,7173385,62.459,59.683,61.028,..,64.3,..,..,6400000,0.2365,29185507,5.1,0.2,11.48400021,76.263,23.737,8.569671214,39.829,..,2.255470678,5.977,66,66,66,..,..,..,..,330,31.7,..,1.4,..,271.299,228.971,60.4,68,74766,11000,55878,..,..,..,101882,..,36.01279831,48.35636006,34.17702772,..,37.55213,48.17814541,49.49372303,2.328131562,0.1,19.3,..,22.1,10,3.47945,..,..,..,..,1.06,..,..,..,86,43,..,3.630954363,2.472900396,96,..
2010,YR2010,Albania,ALB,..,..,5.3,3.3,6.841,4.5,..,99,99,99,1225905,79.302,74.145,76.562,..,11.9,..,..,200000,1.2347,2913021,7.8,7.9,14.08600044,47.837,52.163,..,12.001,..,15.21397829,1.66,99,99,99,4.6572967,..,..,..,..,18.6,..,0.5,..,106.184,55.689,10.8,12.9,422,7,207,..,..,..,474,4.0183,..,87.8112853,95.57169992,61.97765843,..,22.45508261,66.89951198,10.64540541,..,53.3,..,7.4,2.6,..,..,85.95611,..,44.54925,1.109,53.8,8.6,7.07,89,0.29,..,1.609373264,-2.743291493,..,..
2010,YR2010,Algeria,DZA,..,..,10.6,16.8,4.656,8.5,..,99,95,95,11075077,76.152,73.766,74.938,..,23.5,..,..,2300000,1.207,35977455,3.3,0.7,9.960000038,32.46,67.54,5.11717163,24.504,..,9.54484269,2.86,95,95,95,7.3330564,..,..,..,..,15.4,..,0.9,..,116.385,91.882,22,25,20342,1000,15001,..,..,..,23316,1.947,65.96736145,92.38946513,86.56042969,..,83.07031,27.28278029,67.26101388,5.456205838,0.1,57.4,..,6.3,4.3,..,..,97.23353,..,29.88943,1.05,28.8,1.5,..,89,8.5,..,2.867798457,-0.370770543,..,..
2010,YR2010,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56079,..,..,..,12.406,87.594,..,18.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.23243189,62.52818676,12.50685483,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,0.67,..,-1.187900361,-0.244060131,..,..
2010,YR2010,Andorra,AND,..,..,..,..,2.8,6.6,..,..,99,99,..,..,..,..,..,3.9,..,..,..,4,84449,..,11.4,..,11.181,88.819,9.449671209,9.8,..,10.89236662,1.27,96,98,99,7.4442201,..,..,..,..,..,..,..,..,..,..,3.6,4.3,3,..,2,..,..,..,3,4.765,1705.856689,99.99999661,99.99999661,90.63999693,..,..,..,..,..,62.5,..,..,1.1,3.05742,..,..,..,..,..,39.7,29.5,..,86,0.78,..,-0.121248474,0.818848623,..,..
2010,YR2010,Angola,AGO,..,..,8.2,68.7,11.68,3.5,..,79,62,52,9560441,58.033,52.848,55.35,..,76,..,..,9500000,..,23356246,5.7,9,9.430000305,40.217,59.783,2.695100009,45.656,..,4.249562323,6.194,52,52,56,16.094879,..,..,..,..,18.1,..,3.5,..,306.825,233.617,68.5,83,79169,3500,38823,..,..,..,122323,..,18.69452095,50.37684134,41.06079306,..,..,47.04161362,50.59763029,2.360756091,1.7,23.6,..,40.4,24.6,3.42132,..,75.80242,11.29064,..,1.026,..,..,..,48,69,..,4.932242034,1.826195156,28,..
2010,YR2010,Antigua and Barbuda,ATG,..,..,7.7,13.2,6.055,7.1,..,..,98,98,..,77.121,74.439,75.823,..,7.7,..,..,..,..,88028,0.3,6.1,..,73.762,26.238,5.187096819,16.547,..,13.12745959,1.988,98,98,99,9.1393404,..,..,..,..,21.6,..,0.5,..,161.646,113.97,6.9,8.4,11,1,8,..,..,..,14,..,161.0965118,97.08870448,86.32851916,..,..,24.33998273,68.30213114,7.357886127,..,44.7,..,..,2,..,..,95.1015,..,16.72623,1.03,..,..,..,33,1.5,..,-0.720436239,2.256876646,..,..
2010,YR2010,Arab World,ARB,..,..,9.894563597,24.5133417,5.681657407,9.804548109,..,90.16412708,86.8927484,87.56237833,114080695,72.261161,68.61895103,70.34991623,70.76441,31.81526068,..,..,26700000,1.477800003,354890042,4.204442427,0.671453554,9.24813497,43.55912081,56.44087919,3.987995507,27.51343535,..,..,3.47038388,87.90934616,..,87.88788724,..,..,..,..,..,21.72336724,..,1.328880545,..,171.5262495,123.3711603,29.05722075,34.45605129,306128,17000,193583,..,..,..,406555,2.427540376,82.04923598,84.66505021,79.2601003,..,..,33.82426413,62.04268459,4.133051273,0.128487267,57.79370265,..,9.596599773,7.038553922,..,0.91183,84.13909,60.67437,25.06339,1.052849783,..,..,..,..,..,..,3.171233868,1.379820136,..,..
2010,YR2010,Argentina,ARG,26.6,24.6,5.9,14.1,7.708,5.7,..,99,95,94,18222853,78.646,71.837,75.278,98.95497,12.9,..,..,1700000,3.21,40788453,8.7,9.3,7.714000225,9.151,90.849,8.613662422,18.154,..,16.69303328,2.346,94,94,95,7.1585674,..,..,..,44,17.8,..,0.7,..,161.318,86.893,11.5,14.2,9545,380,5676,..,..,..,10673,..,175.6376648,98.4680542,92.62177914,..,..,26.03595845,63.76901689,10.19502466,0.4,59.7,..,4,2.6,5.01971,1.00582,98.7319,82.09918,73.2314,1.04,33.2,22.2,..,45,1.4,..,0.926281041,-0.959654051,..,..
2010,YR2010,Armenia,ARM,27.8,24.5,4,4.2,9.739,7.8,34.1,95,97,94,1310196,76.383,69.989,73.331,..,16.5,..,..,200000,2.8419,2877319,6,5.6,19.00799942,36.56,63.44,9.235391021,15.304,77.1,6.436088681,1.722,94,48,96,7.5863609,5.3,..,..,9,25.9,..,0.7,..,189.182,83.191,14.6,18.3,733,14,433,..,..,..,819,5.2396,230.7221222,98.26605558,90.96217777,61.70685539,86.7671,19.46068545,69.54546924,10.99384531,0.2,51.3,16.5,5.5,2,3.249,..,..,92.50998,52.98915,1.143,56.8,1.8,..,82,5.7,13.5,-0.531245231,-0.099765038,..,1.6
